2025-05-01 18:24:09,MM-Simple,128,128,2381310,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:09,MM-DivideConquer,128,128,2532710,0.9402221336039263,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:09,MM-DivideConquer-Par8,128,128,658100,3.6184622397811883,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:09,MM-DivideConquer-Par4,128,128,712340,3.3429401690204115,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:09,MM-CacheAware,128,128,2014760,1.1819323393357024,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:24:09,MM-CacheAware,128,128,2387100,0.9975744627372125,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:24:10,MM-Simple,256,256,20159650,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:10,MM-DivideConquer,256,256,20648180,0.9763402876185697,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:10,MM-DivideConquer-Par8,256,256,1895700,10.634409452972516,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:10,MM-DivideConquer-Par4,256,256,2472860,8.152362042331552,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:10,MM-CacheAware,256,256,17239740,1.16937088378363,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:24:10,MM-CacheAware,256,256,16913070,1.1919568712244435,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:24:15,MM-Simple,512,512,355547480,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:18,MM-DivideConquer,512,512,262069030,1.356693997760819,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:18,MM-DivideConquer-Par8,512,512,13401860,26.529711547501616,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:19,MM-DivideConquer-Par4,512,512,13296210,26.740513274083366,32,32768,1048576,33554432,64,,10
2025-05-01 18:24:20,MM-CacheAware,512,512,133537590,2.662527307853916,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:24:22,MM-CacheAware,512,512,137848310,2.579266151322421,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:24:53,MM-Simple,1024,1024,2635707860,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:25:18,MM-DivideConquer,1024,1024,2111533120,1.2482436742455643,32,32768,1048576,33554432,64,,10
2025-05-01 18:25:22,MM-DivideConquer-Par8,1024,1024,95135250,27.704850305223353,32,32768,1048576,33554432,64,,10
2025-05-01 18:25:25,MM-DivideConquer-Par4,1024,1024,88636650,29.736095170564322,32,32768,1048576,33554432,64,,10
2025-05-01 18:25:39,MM-CacheAware,1024,1024,1101102640,2.3936986110577303,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:25:50,MM-CacheAware,1024,1024,1099851870,2.3964207652799643,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:32:10,MM-Simple,2048,2048,32286256530,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:35:59,MM-DivideConquer,2048,2048,18403069320,1.7543952027019807,32,32768,1048576,33554432,64,,10
2025-05-01 18:36:34,MM-DivideConquer-Par8,2048,2048,804744030,40.119908102952934,32,32768,1048576,33554432,64,,10
2025-05-01 18:37:08,MM-DivideConquer-Par4,2048,2048,681488370,47.37609319730577,32,32768,1048576,33554432,64,,10
2025-05-01 18:39:14,MM-CacheAware,2048,2048,9020663380,3.5791443677615646,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:40:44,MM-CacheAware,2048,2048,8937464290,3.612462716760125,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:40:44,MM-Simple,128,128,2513000,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-DivideConquer,128,128,2527840,0.9941293752769162,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-DivideConquer-Par8,128,128,564200,4.45409429280397,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-DivideConquer-Par4,128,128,573240,4.383853185402275,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-CacheAware,128,128,2179320,1.1531119798836333,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:40:44,MM-CacheAware,128,128,2221760,1.131085265735273,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:40:44,MM-Simple,256,256,20920480,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-DivideConquer,256,256,20658090,1.012701561470591,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-DivideConquer-Par8,256,256,2230990,9.377218185648523,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:44,MM-DivideConquer-Par4,256,256,2452500,8.530267074413864,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:45,MM-CacheAware,256,256,17774910,1.1769668594665177,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:40:45,MM-CacheAware,256,256,17565930,1.1909691089512482,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:40:49,MM-Simple,512,512,347548630,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:52,MM-DivideConquer,512,512,266690230,1.3031922091784165,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:52,MM-DivideConquer-Par8,512,512,13537320,25.67337035690964,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:53,MM-DivideConquer-Par4,512,512,13939590,24.932485819166846,32,32768,1048576,33554432,64,,10
2025-05-01 18:40:55,MM-CacheAware,512,512,139100920,2.498535811265662,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:40:56,MM-CacheAware,512,512,143037550,2.429771972464573,32,32768,1048576,33554432,64,900KB,10
2025-05-01 18:42:00,MM-Simple,128,128,2494140,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:42:00,MM-CacheAware,128,128,2314310,1.077703505580497,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:42:01,MM-Simple,256,256,20256890,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:42:01,MM-CacheAware,256,256,16990710,1.1922332851305213,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:42:05,MM-Simple,512,512,339645790,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:42:07,MM-CacheAware,512,512,133817920,2.5381188857217327,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:42:39,MM-Simple,1024,1024,2706363990,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:42:53,MM-CacheAware,1024,1024,1099582170,2.4612658006267965,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:49:09,MM-Simple,2048,2048,31999183300,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:51:15,MM-CacheAware,2048,2048,9053325470,3.5345225802425504,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:51:16,MM-Simple,128,128,2397920,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:51:16,MM-CacheAware,128,128,2354150,1.0185926980014017,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:51:16,MM-Simple,256,256,20427660,1,32,32768,1048576,33554432,64,,10
2025-05-01 18:51:16,MM-CacheAware,256,256,16890960,1.209384191307066,32,32768,1048576,33554432,64,1MB,10
2025-05-01 18:51:20,MM-Simple,512,512,347529900,1,32,32768,1048576,33554432,64,,10
