Date,Algorithm,ArraySizeA,ArraySizeB,AvgTime,Speedup,MinSpeedup,MaxSpeedup,MaxCPUs,L1CacheSize,L2CacheSize,L3CacheSize,CacheLineLength,BlockSize,NumRuns
2025-04-22 19:06:47,FunnelSort,1048576,,17649499,3.441156884963137,3.6702579799127375,3.186282939778504,32,32768,1048576,33554432,64,32KB,100
2025-04-22 19:06:48,FunnelSort,1048576,,17677437,3.4357183679964467,3.6777923446308867,3.188139494598482,32,32768,1048576,33554432,64,64KB,100
2025-04-22 19:06:50,FunnelSort,1048576,,17717490,3.4279514197552814,3.793049943480243,3.1833603266452815,32,32768,1048576,33554432,64,128KB,100
2025-04-22 19:06:52,FunnelSort,1048576,,17779211,3.4160511959726447,3.680310678317356,3.1936717813347917,32,32768,1048576,33554432,64,256KB,100
2025-04-22 19:06:54,FunnelSort,1048576,,17912788,3.390577446682225,3.7901384763236066,3.1040777160496984,32,32768,1048576,33554432,64,512KB,100
2025-04-22 19:06:56,FunnelSort,1048576,,18151046,3.346071350378375,3.6701692631222733,3.102190979671059,32,32768,1048576,33554432,64,1MB,100
2025-04-22 19:06:57,FunnelSort,1048576,,17934172,3.3865346557398914,3.6694596831687956,3.1385655079039436,32,32768,1048576,33554432,64,2MB,100
2025-04-22 19:06:59,FunnelSort,1048576,,17789232,3.414126871806495,3.675366418958172,3.157772156768954,32,32768,1048576,33554432,64,4MB,100
2025-04-22 19:07:01,FunnelSort,1048576,,18028512,3.3688135216040016,3.676901724795525,3.034746990721078,32,32768,1048576,33554432,64,8MB,100
2025-04-22 19:07:03,FunnelSort,1048576,,17967743,3.380207241388081,3.6720998216391063,3.111520136480304,32,32768,1048576,33554432,64,16MB,100
2025-04-22 19:07:05,FunnelSort,1048576,,17880046,3.3967862834357363,3.673032542499985,3.030673403193613,32,32768,1048576,33554432,64,32MB,100
2025-04-22 19:07:07,FunnelSort,1048576,,17862371,3.400147438433565,3.677859158511772,3.0919256223591103,32,32768,1048576,33554432,64,64MB,100
2025-04-22 19:59:25,FunnelSort,1048576,,17680441,0.914962189008747,0.9800698538098498,0.8467914760414158,32,32768,1048576,33554432,64,32KB,100
2025-04-22 19:59:26,FunnelSort,1048576,,17628538,0.917656075620111,0.9788482134753275,0.8477277848522484,32,32768,1048576,33554432,64,64KB,100
2025-04-22 19:59:28,FunnelSort,1048576,,17657285,0.9161620826757908,0.979767124947005,0.8502049708047995,32,32768,1048576,33554432,64,128KB,100
2025-04-22 19:59:30,FunnelSort,1048576,,17739076,0.9119378596720595,1.0098529255701008,0.8468579699826723,32,32768,1048576,33554432,64,256KB,100
2025-04-22 19:59:32,FunnelSort,1048576,,17740352,0.9118722672470084,1.0006516602335709,0.8494148008905318,32,32768,1048576,33554432,64,512KB,100
2025-04-22 19:59:34,FunnelSort,1048576,,17611621,0.9185375383674222,1.0090655330721825,0.8379009659959081,32,32768,1048576,33554432,64,1MB,100
2025-04-22 19:59:35,FunnelSort,1048576,,17646096,0.9167430008314587,0.9742441853462294,0.8376232984171201,32,32768,1048576,33554432,64,2MB,100
2025-04-22 19:59:37,FunnelSort,1048576,,17728784,0.9124672622781123,0.9788245224452257,0.8406135355068021,32,32768,1048576,33554432,64,4MB,100
2025-04-22 19:59:39,FunnelSort,1048576,,17615783,0.9183205197293813,0.980158927316352,0.8265768228501355,32,32768,1048576,33554432,64,8MB,100
2025-04-22 19:59:41,FunnelSort,1048576,,17634073,0.9173680408377577,0.9797374557126851,0.8588899743558432,32,32768,1048576,33554432,64,16MB,100
2025-04-22 19:59:42,FunnelSort,1048576,,17584260,0.919966777106344,1.0052655945116267,0.8496601765821222,32,32768,1048576,33554432,64,32MB,100
2025-04-22 19:59:44,FunnelSort,1048576,,17761751,0.9107736618985369,0.9797315220814458,0.8456847789720212,32,32768,1048576,33554432,64,64MB,100
2025-04-22 20:01:55,FunnelSort,1048576,,17644452,0.9153180274456809,0.9920566230128505,0.8419192814358771,32,32768,1048576,33554432,64,32KB,100
2025-04-22 20:01:57,FunnelSort,1048576,,17748290,0.9099628752967187,0.9781234291251552,0.8456576377507474,32,32768,1048576,33554432,64,64KB,100
2025-04-22 20:01:59,FunnelSort,1048576,,17724170,0.9112012015231179,0.9781471252672445,0.8473614208137674,32,32768,1048576,33554432,64,128KB,100
2025-04-22 20:02:00,FunnelSort,1048576,,17729348,0.9109350778156083,0.9768514486179157,0.8484030342349536,32,32768,1048576,33554432,64,256KB,100
2025-04-22 20:02:02,FunnelSort,1048576,,17718197,0.9115083775171932,0.977401247904525,0.8484565193407898,32,32768,1048576,33554432,64,512KB,100
2025-04-22 20:02:04,FunnelSort,1048576,,17719431,0.9114448991053945,0.978230070806859,0.8425122070821943,32,32768,1048576,33554432,64,1MB,100
2025-04-22 20:02:06,FunnelSort,1048576,,17680811,0.9134357581221811,0.9769932730814368,0.8380094125216633,32,32768,1048576,33554432,64,2MB,100
2025-04-22 20:02:08,FunnelSort,1048576,,17791599,0.9077478083897912,1.0024819525396795,0.8408803836221259,32,32768,1048576,33554432,64,4MB,100
2025-04-22 20:02:09,FunnelSort,1048576,,17717399,0.9115494322840503,1.008252227168016,0.8457284919068092,32,32768,1048576,33554432,64,8MB,100
2025-04-22 20:02:11,FunnelSort,1048576,,17710012,0.9119296474784997,0.9773302712875721,0.8434317929006753,32,32768,1048576,33554432,64,16MB,100
2025-04-22 20:02:13,FunnelSort,1048576,,17648073,0.9151302241326857,0.9786568701711862,0.8360053109988405,32,32768,1048576,33554432,64,32MB,100
