Date,Algorithm,ArraySizeA,ArraySizeB,AvgTime,Speedup,MinSpeedup,MaxSpeedup,MaxCPUs,L1CacheSize,L2CacheSize,L3CacheSize,CacheLineLength,BlockSize,NumRuns
2025-04-22 17:55:55,MM-Simple,1024,2000,6052608424,1,NaN,NaN,32,32768,1048576,33554432,64,,25
2025-04-22 17:56:50,MM-CacheAware,1024,2000,2218752436,2.727933196058472,2.8496985607314382,1.57748218441389,32,32768,1048576,33554432,64,32KB,25
2025-04-22 17:57:43,MM-CacheAware,1024,2000,2129402968,2.842396913574697,2.866278452838784,2.80900531898428,32,32768,1048576,33554432,64,64KB,25
2025-04-22 17:58:37,MM-CacheAware,1024,2000,2166731008,2.7934286266511954,2.820940583782788,2.7506661464618842,32,32768,1048576,33554432,64,128KB,25
2025-04-22 17:59:32,MM-CacheAware,1024,2000,2178182912,2.778742037987304,2.8006411509422526,2.7539729182271477,32,32768,1048576,33554432,64,256KB,25
2025-04-22 18:00:26,MM-CacheAware,1024,2000,2174909836,2.782923836112533,2.8078041240418092,2.7419529930083604,32,32768,1048576,33554432,64,512KB,25
2025-04-22 18:01:20,MM-CacheAware,1024,2000,2144116596,2.8228914580912092,2.8482069694811325,2.793119898955708,32,32768,1048576,33554432,64,1MB,25
2025-04-22 18:02:13,MM-CacheAware,1024,2000,2143542660,2.8236472905092542,2.8521994005328533,2.7433781178483363,32,32768,1048576,33554432,64,2MB,25
2025-04-22 18:03:06,MM-CacheAware,1024,2000,2091030096,2.8945582541247172,2.918699073893241,2.864862072082946,32,32768,1048576,33554432,64,4MB,25
2025-04-22 18:03:58,MM-CacheAware,1024,2000,2090222272,2.8956769359311467,2.917279778000552,2.867886737252928,32,32768,1048576,33554432,64,8MB,25
2025-04-22 18:04:50,MM-CacheAware,1024,2000,2098790620,2.8838552861456948,2.9067268469607037,2.852789159585961,32,32768,1048576,33554432,64,16MB,25
2025-04-22 18:05:43,MM-CacheAware,1024,2000,2097050420,2.886248402172419,2.9059044539407632,2.843371499362678,32,32768,1048576,33554432,64,32MB,25
2025-04-22 18:05:43,MS-Seq,1024,,0,1,32,32768,1048576,33554432,64,,25
2025-04-22 18:05:43,MS-Par,1024,,40132,0.9959134854978571,32,32768,1048576,33554432,64,,25
2025-04-22 18:05:45,MS-PMerge,1024,,1355340,0.02948927944279664,32,32768,1048576,33554432,64,,25
2025-04-22 18:12:39,MM-Simple,1024,2000,6392397146,1,NaN,NaN,32,32768,1048576,33554432,64,,50
2025-04-22 18:14:25,MM-CacheAware,1024,2000,2120507598,3.014559887467095,3.040268231831923,2.9595865808865827,32,32768,1048576,33554432,64,32KB,50
2025-04-22 18:16:11,MM-CacheAware,1024,2000,2110541626,3.02879463131707,3.0681207910153034,2.319135080935398,32,32768,1048576,33554432,64,64KB,50
2025-04-22 18:17:58,MM-CacheAware,1024,2000,2148837676,2.974816207569138,3.0085619360267546,2.9410736672017506,32,32768,1048576,33554432,64,128KB,50
2025-04-22 18:19:47,MM-CacheAware,1024,2000,2167961672,2.9485747965750937,2.981605702013275,2.92008537430067,32,32768,1048576,33554432,64,256KB,50
2025-04-22 18:21:35,MM-CacheAware,1024,2000,2162572818,2.955922266660063,2.980007103649415,2.9196348481712926,32,32768,1048576,33554432,64,512KB,50
